words,start,end,transcript,WER,filename
will find ourselves,75.238,77.456,"[{'word': 'will', 'start': 0.0, 'end': 0.247}, {'word': 'find', 'start': 0.247, 'end': 0.739}, {'word': 'ourselves', 'start': 0.986, 'end': 2.218}]",0.0,373c1442148a418e932eeec27388979e-15.wav
to have a second chance,109.733,114.169,"[{'word': 'to', 'start': 0.0, 'end': 0.247}, {'word': 'have', 'start': 0.247, 'end': 0.74}, {'word': 'a', 'start': 0.74, 'end': 0.986}, {'word': 'second', 'start': 0.986, 'end': 1.972}, {'word': 'chance', 'start': 1.972, 'end': 4.436}]",0.0,373c1442148a418e932eeec27388979e-26.wav
ohhh,130.184,131.663,"[{'word': 'ohhh', 'start': 0.0, 'end': 1.479}]",0.0,373c1442148a418e932eeec27388979e-30.wav
if we believe that true love,132.155,135.605,"[{'word': 'if', 'start': 0.0, 'end': 0.247}, {'word': 'we', 'start': 0.247, 'end': 0.74}, {'word': 'believe', 'start': 0.74, 'end': 1.479}, {'word': 'that', 'start': 1.479, 'end': 1.972}, {'word': 'true', 'start': 1.972, 'end': 2.464}, {'word': 'love', 'start': 2.464, 'end': 3.45}]",0.0,373c1442148a418e932eeec27388979e-31.wav
will find ourselves,156.548,158.52,"[{'word': 'will', 'start': 0.0, 'end': 0.247}, {'word': 'find', 'start': 0.247, 'end': 0.74}, {'word': 'ourselves', 'start': 0.986, 'end': 1.972}]",0.0,373c1442148a418e932eeec27388979e-36.wav
someday you and me,168.868,173.057,"[{'word': 'someday', 'start': 0.0, 'end': 0.986}, {'word': 'you', 'start': 1.232, 'end': 1.479}, {'word': 'and', 'start': 1.479, 'end': 1.971}, {'word': 'me', 'start': 1.971, 'end': 4.189}]",0.0,373c1442148a418e932eeec27388979e-39.wav
in love again,192.029,197.204,"[{'word': 'in', 'start': 0.0, 'end': 0.247}, {'word': 'love', 'start': 0.247, 'end': 0.986}, {'word': 'again', 'start': 0.986, 'end': 5.175}]",0.0,373c1442148a418e932eeec27388979e-44.wav
set adrift,41.802,42.882,"[{'word': 'set', 'start': 0.0, 'end': 0.154}, {'word': 'adrift', 'start': 0.257, 'end': 1.08}]",0.0,373cfb8bc2e04806ac02a64ae95eae11-3.wav
set adrift,68.068,69.251,"[{'word': 'set', 'start': 0.0, 'end': 0.206}, {'word': 'adrift', 'start': 0.257, 'end': 1.183}]",0.0,373cfb8bc2e04806ac02a64ae95eae11-10.wav
in the depths of the dark,69.816,71.307,"[{'word': 'in', 'start': 0.0, 'end': 0.154}, {'word': 'the', 'start': 0.206, 'end': 0.36}, {'word': 'depths', 'start': 0.411, 'end': 0.668}, {'word': 'of', 'start': 0.771, 'end': 0.925}, {'word': 'the', 'start': 0.977, 'end': 1.131}, {'word': 'dark', 'start': 1.234, 'end': 1.491}]",0.0,373cfb8bc2e04806ac02a64ae95eae11-11.wav
we all,124.096,124.919,"[{'word': 'we', 'start': 0.0, 'end': 0.257}, {'word': 'all', 'start': 0.36, 'end': 0.823}]",0.0,373cfb8bc2e04806ac02a64ae95eae11-19.wav
i feel it in my bones when the storm is close,149.437,155.04,"[{'word': 'i', 'start': 0.0, 'end': 0.154}, {'word': 'feel', 'start': 0.206, 'end': 0.411}, {'word': 'it', 'start': 0.463, 'end': 0.617}, {'word': 'in', 'start': 0.668, 'end': 0.822}, {'word': 'my', 'start': 0.874, 'end': 1.182}, {'word': 'bones', 'start': 1.285, 'end': 1.645}, {'word': 'when', 'start': 1.696, 'end': 1.85}, {'word': 'the', 'start': 1.902, 'end': 2.005}, {'word': 'storm', 'start': 2.056, 'end': 2.519}, {'word': 'is', 'start': 2.622, 'end': 2.827}, {'word': 'close', 'start': 2.93, 'end': 5.603}]",0.0,373cfb8bc2e04806ac02a64ae95eae11-26.wav
oh,17.792,23.417,"[{'word': 'oh', 'start': 0.0, 'end': 5.625}]",0.0,376f834b4e0f46e0ad511d33e62aa9d2-0.wav
oh,34.167,39.792,"[{'word': 'oh', 'start': 0.0, 'end': 5.625}]",0.0,376f834b4e0f46e0ad511d33e62aa9d2-2.wav
if only i had saved what i still had,59.345,63.384,"[{'word': 'if', 'start': 0.0, 'end': 0.289}, {'word': 'only', 'start': 0.289, 'end': 0.866}, {'word': 'i', 'start': 0.866, 'end': 1.154}, {'word': 'had', 'start': 1.154, 'end': 1.443}, {'word': 'saved', 'start': 1.443, 'end': 2.019}, {'word': 'what', 'start': 2.019, 'end': 2.308}, {'word': 'i', 'start': 2.308, 'end': 2.885}, {'word': 'still', 'start': 2.885, 'end': 3.462}, {'word': 'had', 'start': 3.462, 'end': 4.039}]",0.0,3779e22387fa4b6682be2ed34bbaba4a-9.wav
i would stay for the night for the night,68.864,74.634,"[{'word': 'i', 'start': 0.0, 'end': 0.289}, {'word': 'would', 'start': 0.289, 'end': 1.154}, {'word': 'stay', 'start': 1.154, 'end': 2.308}, {'word': 'for', 'start': 2.308, 'end': 2.885}, {'word': 'the', 'start': 2.885, 'end': 3.174}, {'word': 'night', 'start': 3.174, 'end': 4.616}, {'word': 'for', 'start': 4.616, 'end': 4.904}, {'word': 'the', 'start': 4.904, 'end': 5.193}, {'word': 'night', 'start': 5.193, 'end': 5.77}]",0.0,3779e22387fa4b6682be2ed34bbaba4a-11.wav
will drill a hole in you,96.845,100.307,"[{'word': 'will', 'start': 0.0, 'end': 0.289}, {'word': 'drill', 'start': 0.289, 'end': 0.577}, {'word': 'a', 'start': 0.577, 'end': 0.866}, {'word': 'hole', 'start': 0.866, 'end': 2.596}, {'word': 'in', 'start': 2.596, 'end': 2.885}, {'word': 'you', 'start': 2.885, 'end': 3.462}]",0.0,3779e22387fa4b6682be2ed34bbaba4a-15.wav
i would stay for the night,207.326,211.076,"[{'word': 'i', 'start': 0.0, 'end': 0.288}, {'word': 'would', 'start': 0.288, 'end': 1.154}, {'word': 'stay', 'start': 1.154, 'end': 2.308}, {'word': 'for', 'start': 2.308, 'end': 2.885}, {'word': 'the', 'start': 2.885, 'end': 3.173}, {'word': 'night', 'start': 3.173, 'end': 3.75}]",0.0,3779e22387fa4b6682be2ed34bbaba4a-35.wav
mhmmmm,0.66,3.59,"[{'word': 'mhmmmm', 'start': 0.0, 'end': 2.93}]",0.0,377b8ac898ce4ac6b0c45734f7a1fa30-0.wav
dreams can come true,50.578,51.985,"[{'word': 'dreams', 'start': 0.0, 'end': 0.235}, {'word': 'can', 'start': 0.469, 'end': 0.586}, {'word': 'come', 'start': 0.703, 'end': 0.821}, {'word': 'true', 'start': 0.938, 'end': 1.407}]",0.0,377b8ac898ce4ac6b0c45734f7a1fa30-14.wav
our love was always strong,75.42,77.764,"[{'word': 'our', 'start': 0.0, 'end': 0.117}, {'word': 'love', 'start': 0.235, 'end': 0.469}, {'word': 'was', 'start': 0.586, 'end': 0.703}, {'word': 'always', 'start': 0.82, 'end': 1.406}, {'word': 'strong', 'start': 1.641, 'end': 2.344}]",0.0,377b8ac898ce4ac6b0c45734f7a1fa30-21.wav
when someone loves like i do,101.902,104.598,"[{'word': 'when', 'start': 0.0, 'end': 0.352}, {'word': 'someone', 'start': 0.469, 'end': 1.055}, {'word': 'loves', 'start': 1.172, 'end': 1.524}, {'word': 'like', 'start': 1.641, 'end': 1.875}, {'word': 'i', 'start': 1.993, 'end': 2.11}, {'word': 'do', 'start': 2.227, 'end': 2.696}]",0.0,377b8ac898ce4ac6b0c45734f7a1fa30-28.wav
dreams can come true,104.949,106.59,"[{'word': 'dreams', 'start': 0.0, 'end': 0.352}, {'word': 'can', 'start': 0.469, 'end': 0.586}, {'word': 'come', 'start': 0.703, 'end': 0.938}, {'word': 'true', 'start': 1.055, 'end': 1.641}]",0.0,377b8ac898ce4ac6b0c45734f7a1fa30-29.wav
we can be happy again,120.182,122.292,"[{'word': 'we', 'start': 0.0, 'end': 0.235}, {'word': 'can', 'start': 0.352, 'end': 0.586}, {'word': 'be', 'start': 0.703, 'end': 0.821}, {'word': 'happy', 'start': 0.938, 'end': 1.524}, {'word': 'again', 'start': 1.641, 'end': 2.11}]",0.0,377b8ac898ce4ac6b0c45734f7a1fa30-34.wav
face to face and heart to heart,3.922,7.494,"[{'word': 'face', 'start': 0.0, 'end': 0.268}, {'word': 'to', 'start': 0.357, 'end': 0.625}, {'word': 'face', 'start': 0.715, 'end': 1.429}, {'word': 'and', 'start': 1.786, 'end': 2.054}, {'word': 'heart', 'start': 2.143, 'end': 2.411}, {'word': 'to', 'start': 2.5, 'end': 2.768}, {'word': 'heart', 'start': 2.857, 'end': 3.572}]",0.0,37830c690ab549de894118d7b3e23e38-0.wav
and tear down all the walls,47.315,50.351,"[{'word': 'and', 'start': 0.0, 'end': 0.089}, {'word': 'tear', 'start': 0.179, 'end': 0.447}, {'word': 'down', 'start': 0.536, 'end': 0.804}, {'word': 'all', 'start': 0.893, 'end': 1.607}, {'word': 'the', 'start': 1.786, 'end': 1.875}, {'word': 'walls', 'start': 1.964, 'end': 3.036}]",0.0,37830c690ab549de894118d7b3e23e38-10.wav
will we ever have a happy ending,51.065,55.708,"[{'word': 'will', 'start': 0.0, 'end': 0.268}, {'word': 'we', 'start': 0.357, 'end': 0.625}, {'word': 'ever', 'start': 0.714, 'end': 1.786}, {'word': 'have', 'start': 2.143, 'end': 2.411}, {'word': 'a', 'start': 2.5, 'end': 2.768}, {'word': 'happy', 'start': 2.857, 'end': 3.482}, {'word': 'ending', 'start': 3.572, 'end': 4.643}]",0.0,37830c690ab549de894118d7b3e23e38-11.wav
wondering if we still belong,106.779,113.208,"[{'word': 'wondering', 'start': 0.0, 'end': 0.625}, {'word': 'if', 'start': 0.715, 'end': 1.429}, {'word': 'we', 'start': 1.786, 'end': 2.054}, {'word': 'still', 'start': 2.143, 'end': 2.411}, {'word': 'belong', 'start': 2.5, 'end': 6.429}]",0.0,37830c690ab549de894118d7b3e23e38-21.wav
and tear down all the walls,180.172,183.208,"[{'word': 'and', 'start': 0.0, 'end': 0.09}, {'word': 'tear', 'start': 0.179, 'end': 0.447}, {'word': 'down', 'start': 0.536, 'end': 0.804}, {'word': 'all', 'start': 0.893, 'end': 1.607}, {'word': 'the', 'start': 1.786, 'end': 1.875}, {'word': 'walls', 'start': 1.965, 'end': 3.036}]",0.0,37830c690ab549de894118d7b3e23e38-37.wav
or will we forever only be pretending,188.922,194.637,"[{'word': 'or', 'start': 0.0, 'end': 0.268}, {'word': 'will', 'start': 0.357, 'end': 0.625}, {'word': 'we', 'start': 0.715, 'end': 0.982}, {'word': 'forever', 'start': 1.072, 'end': 2.5}, {'word': 'only', 'start': 2.857, 'end': 3.482}, {'word': 'be', 'start': 3.572, 'end': 3.929}, {'word': 'pretending', 'start': 4.107, 'end': 5.715}]",0.0,37830c690ab549de894118d7b3e23e38-39.wav
i want you to know,40.747,42.744,"[{'word': 'i', 'start': 0.0, 'end': 0.174}, {'word': 'want', 'start': 0.261, 'end': 0.434}, {'word': 'you', 'start': 0.521, 'end': 0.608}, {'word': 'to', 'start': 0.955, 'end': 1.129}, {'word': 'know', 'start': 1.302, 'end': 1.997}]",0.0,37a80b0af78f4993a7bd03d53dff117f-6.wav
when nothing works and no one cares,63.49,68.091,"[{'word': 'when', 'start': 0.0, 'end': 0.434}, {'word': 'nothing', 'start': 0.521, 'end': 0.955}, {'word': 'works', 'start': 1.129, 'end': 1.736}, {'word': 'and', 'start': 1.823, 'end': 2.084}, {'word': 'no', 'start': 2.17, 'end': 2.691}, {'word': 'one', 'start': 2.778, 'end': 3.386}, {'word': 'cares', 'start': 3.559, 'end': 4.601}]",0.0,37a80b0af78f4993a7bd03d53dff117f-11.wav
an angel lost her wings,74.254,77.466,"[{'word': 'an', 'start': 0.0, 'end': 0.174}, {'word': 'angel', 'start': 0.261, 'end': 0.955}, {'word': 'lost', 'start': 1.302, 'end': 1.736}, {'word': 'her', 'start': 1.91, 'end': 2.17}, {'word': 'wings', 'start': 2.257, 'end': 3.212}]",0.0,37a80b0af78f4993a7bd03d53dff117f-13.wav
to love you,116.094,118.612,"[{'word': 'to', 'start': 0.0, 'end': 0.087}, {'word': 'love', 'start': 0.087, 'end': 0.434}, {'word': 'you', 'start': 0.608, 'end': 2.518}]",0.0,37a80b0af78f4993a7bd03d53dff117f-21.wav
when nothing works and no one cares,119.306,123.907,"[{'word': 'when', 'start': 0.0, 'end': 0.434}, {'word': 'nothing', 'start': 0.521, 'end': 0.955}, {'word': 'works', 'start': 1.129, 'end': 1.736}, {'word': 'and', 'start': 1.823, 'end': 2.084}, {'word': 'no', 'start': 2.17, 'end': 2.691}, {'word': 'one', 'start': 2.778, 'end': 3.386}, {'word': 'cares', 'start': 3.559, 'end': 4.601}]",0.0,37a80b0af78f4993a7bd03d53dff117f-22.wav
i will be there,124.167,128.334,"[{'word': 'i', 'start': 0.0, 'end': 0.174}, {'word': 'will', 'start': 0.261, 'end': 0.608}, {'word': 'be', 'start': 0.782, 'end': 1.476}, {'word': 'there', 'start': 1.563, 'end': 4.167}]",0.0,37a80b0af78f4993a7bd03d53dff117f-23.wav
i will be there,135.278,140.053,"[{'word': 'i', 'start': 0.0, 'end': 0.174}, {'word': 'will', 'start': 0.348, 'end': 0.782}, {'word': 'be', 'start': 0.868, 'end': 1.389}, {'word': 'there', 'start': 1.563, 'end': 4.775}]",0.0,37a80b0af78f4993a7bd03d53dff117f-25.wav
i will be there,183.021,185.105,"[{'word': 'i', 'start': 0.0, 'end': 0.087}, {'word': 'will', 'start': 0.174, 'end': 0.521}, {'word': 'be', 'start': 0.695, 'end': 1.129}, {'word': 'there', 'start': 1.303, 'end': 2.084}]",0.0,37a80b0af78f4993a7bd03d53dff117f-31.wav
to love you,185.799,188.317,"[{'word': 'to', 'start': 0.0, 'end': 0.087}, {'word': 'love', 'start': 0.087, 'end': 0.434}, {'word': 'you', 'start': 0.608, 'end': 2.518}]",0.0,37a80b0af78f4993a7bd03d53dff117f-32.wav
when nothing works and no one cares,189.271,193.612,"[{'word': 'when', 'start': 0.0, 'end': 0.261}, {'word': 'nothing', 'start': 0.348, 'end': 0.955}, {'word': 'works', 'start': 1.042, 'end': 1.476}, {'word': 'and', 'start': 1.737, 'end': 1.997}, {'word': 'no', 'start': 2.084, 'end': 2.691}, {'word': 'one', 'start': 2.778, 'end': 3.386}, {'word': 'cares', 'start': 3.473, 'end': 4.341}]",0.0,37a80b0af78f4993a7bd03d53dff117f-33.wav
i will be there,193.872,198.039,"[{'word': 'i', 'start': 0.0, 'end': 0.174}, {'word': 'will', 'start': 0.261, 'end': 0.608}, {'word': 'be', 'start': 0.781, 'end': 1.476}, {'word': 'there', 'start': 1.563, 'end': 4.167}]",0.0,37a80b0af78f4993a7bd03d53dff117f-34.wav
i will be there,205.07,209.758,"[{'word': 'i', 'start': 0.0, 'end': 0.174}, {'word': 'will', 'start': 0.347, 'end': 0.781}, {'word': 'be', 'start': 0.868, 'end': 1.389}, {'word': 'there', 'start': 1.563, 'end': 4.688}]",0.0,37a80b0af78f4993a7bd03d53dff117f-36.wav
eh eh ho eh ho,17.112,18.766,"[{'word': 'eh', 'start': 0.0, 'end': 0.236}, {'word': 'eh', 'start': 0.472, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.358}, {'word': 'ho', 'start': 1.417, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-0.wav
eh eh ho eh ho,22.781,24.435,"[{'word': 'eh', 'start': 0.0, 'end': 0.237}, {'word': 'eh', 'start': 0.473, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.359}, {'word': 'ho', 'start': 1.418, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-3.wav
eh eh ho eh ho,24.671,26.325,"[{'word': 'eh', 'start': 0.0, 'end': 0.236}, {'word': 'eh', 'start': 0.472, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.358}, {'word': 'ho', 'start': 1.417, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-4.wav
eh eh ho eh ho,30.34,31.994,"[{'word': 'eh', 'start': 0.0, 'end': 0.237}, {'word': 'eh', 'start': 0.473, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.359}, {'word': 'ho', 'start': 1.418, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-7.wav
i was left,32.466,33.766,"[{'word': 'i', 'start': 0.0, 'end': 0.118}, {'word': 'was', 'start': 0.237, 'end': 0.414}, {'word': 'left', 'start': 0.473, 'end': 1.3}]",0.0,37df6405aa2f4a41a3f891983740d61d-8.wav
many days,39.907,41.62,"[{'word': 'many', 'start': 0.0, 'end': 0.414}, {'word': 'days', 'start': 0.591, 'end': 1.713}]",0.0,37df6405aa2f4a41a3f891983740d61d-10.wav
how am i gonna be an optimist,82.899,84.612,"[{'word': 'how', 'start': 0.0, 'end': 0.119}, {'word': 'am', 'start': 0.237, 'end': 0.296}, {'word': 'i', 'start': 0.355, 'end': 0.414}, {'word': 'gonna', 'start': 0.473, 'end': 0.65}, {'word': 'be', 'start': 0.709, 'end': 0.827}, {'word': 'an', 'start': 0.945, 'end': 1.063}, {'word': 'optimist', 'start': 1.182, 'end': 1.713}]",0.0,37df6405aa2f4a41a3f891983740d61d-23.wav
we were caught,87.033,88.687,"[{'word': 'we', 'start': 0.0, 'end': 0.118}, {'word': 'were', 'start': 0.177, 'end': 0.296}, {'word': 'caught', 'start': 0.473, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-25.wav
in your pose,94.474,96.128,"[{'word': 'in', 'start': 0.0, 'end': 0.118}, {'word': 'your', 'start': 0.236, 'end': 0.591}, {'word': 'pose', 'start': 0.827, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-28.wav
in the city that we love,104.395,108.175,"[{'word': 'in', 'start': 0.0, 'end': 0.119}, {'word': 'the', 'start': 0.237, 'end': 0.414}, {'word': 'city', 'start': 0.473, 'end': 0.886}, {'word': 'that', 'start': 0.945, 'end': 1.123}, {'word': 'we', 'start': 1.182, 'end': 1.359}, {'word': 'love', 'start': 1.418, 'end': 3.78}]",0.0,37df6405aa2f4a41a3f891983740d61d-32.wav
bringing darkness from above,111.836,115.675,"[{'word': 'bringing', 'start': 0.0, 'end': 0.414}, {'word': 'darkness', 'start': 0.473, 'end': 1.122}, {'word': 'from', 'start': 1.182, 'end': 1.241}, {'word': 'above', 'start': 1.3, 'end': 3.839}]",0.0,37df6405aa2f4a41a3f891983740d61d-34.wav
how am i gonna be an optimist,137.466,139.179,"[{'word': 'how', 'start': 0.0, 'end': 0.118}, {'word': 'am', 'start': 0.237, 'end': 0.296}, {'word': 'i', 'start': 0.355, 'end': 0.414}, {'word': 'gonna', 'start': 0.473, 'end': 0.65}, {'word': 'be', 'start': 0.709, 'end': 0.827}, {'word': 'an', 'start': 0.945, 'end': 1.063}, {'word': 'optimist', 'start': 1.181, 'end': 1.713}]",0.0,37df6405aa2f4a41a3f891983740d61d-42.wav
eh ho eh ho,141.836,143.018,"[{'word': 'eh', 'start': 0.0, 'end': 0.178}, {'word': 'ho', 'start': 0.237, 'end': 0.473}, {'word': 'eh', 'start': 0.709, 'end': 0.886}, {'word': 'ho', 'start': 0.945, 'end': 1.182}]",0.0,37df6405aa2f4a41a3f891983740d61d-44.wav
eh eh ho eh ho,147.033,148.687,"[{'word': 'eh', 'start': 0.0, 'end': 0.236}, {'word': 'eh', 'start': 0.473, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.359}, {'word': 'ho', 'start': 1.418, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-47.wav
oh,195.458,195.518,"[{'word': 'oh', 'start': 0.0, 'end': 0.06}]",0.0,37df6405aa2f4a41a3f891983740d61d-63.wav
eh eh ho eh ho,214.71,216.364,"[{'word': 'eh', 'start': 0.0, 'end': 0.237}, {'word': 'eh', 'start': 0.473, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.182, 'end': 1.359}, {'word': 'ho', 'start': 1.418, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-71.wav
eh eh ho eh ho,216.6,218.254,"[{'word': 'eh', 'start': 0.0, 'end': 0.236}, {'word': 'eh', 'start': 0.473, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.358}, {'word': 'ho', 'start': 1.418, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-72.wav
eh eh ho eh ho,224.159,225.813,"[{'word': 'eh', 'start': 0.0, 'end': 0.236}, {'word': 'eh', 'start': 0.473, 'end': 0.65}, {'word': 'ho', 'start': 0.709, 'end': 0.945}, {'word': 'eh', 'start': 1.181, 'end': 1.359}, {'word': 'ho', 'start': 1.418, 'end': 1.654}]",0.0,37df6405aa2f4a41a3f891983740d61d-76.wav
broken and weary unable to,24.012,28.612,"[{'word': 'broken', 'start': 0.0, 'end': 0.9}, {'word': 'and', 'start': 1.0, 'end': 1.25}, {'word': 'weary', 'start': 1.45, 'end': 2.55}, {'word': 'unable', 'start': 2.9, 'end': 4.05}, {'word': 'to', 'start': 4.15, 'end': 4.6}]",0.0,37e709cea0a3481cabb4e393a4fffd18-1.wav
find my way,30.762,33.212,"[{'word': 'find', 'start': 0.0, 'end': 0.5}, {'word': 'my', 'start': 0.75, 'end': 1.25}, {'word': 'way', 'start': 1.5, 'end': 2.45}]",0.0,37e709cea0a3481cabb4e393a4fffd18-2.wav
tail in hand,34.212,35.862,"[{'word': 'tail', 'start': 0.0, 'end': 0.2}, {'word': 'in', 'start': 0.3, 'end': 0.65}, {'word': 'hand', 'start': 0.75, 'end': 1.65}]",0.0,37e709cea0a3481cabb4e393a4fffd18-3.wav
dizzy and clearly unable to,37.612,42.112,"[{'word': 'dizzy', 'start': 0.0, 'end': 0.9}, {'word': 'and', 'start': 1.0, 'end': 1.25}, {'word': 'clearly', 'start': 1.45, 'end': 2.6}, {'word': 'unable', 'start': 2.8, 'end': 4.0}, {'word': 'to', 'start': 4.1, 'end': 4.5}]",0.0,37e709cea0a3481cabb4e393a4fffd18-4.wav
just let this go,43.112,46.262,"[{'word': 'just', 'start': 0.0, 'end': 0.45}, {'word': 'let', 'start': 1.25, 'end': 1.65}, {'word': 'this', 'start': 2.05, 'end': 2.3}, {'word': 'go', 'start': 2.75, 'end': 3.15}]",0.0,37e709cea0a3481cabb4e393a4fffd18-5.wav
to gravity and the unknown,54.062,59.312,"[{'word': 'to', 'start': 0.0, 'end': 0.15}, {'word': 'gravity', 'start': 0.25, 'end': 2.6}, {'word': 'and', 'start': 2.7, 'end': 3.2}, {'word': 'the', 'start': 3.45, 'end': 3.6}, {'word': 'unknown', 'start': 3.65, 'end': 5.25}]",0.0,37e709cea0a3481cabb4e393a4fffd18-7.wav
i try to discover,8.191,10.295,"[{'word': 'i', 'start': 0.0, 'end': 0.132}, {'word': 'try', 'start': 0.263, 'end': 0.526}, {'word': 'to', 'start': 0.526, 'end': 0.789}, {'word': 'discover', 'start': 0.789, 'end': 2.104}]",0.0,37e8a7c9534f48d0995e769099277707-0.wav
with you,26.599,28.046,"[{'word': 'with', 'start': 0.0, 'end': 0.329}, {'word': 'you', 'start': 0.526, 'end': 1.447}]",0.0,37e8a7c9534f48d0995e769099277707-7.wav
that you gimme,33.699,34.423,"[{'word': 'that', 'start': 0.0, 'end': 0.132}, {'word': 'you', 'start': 0.263, 'end': 0.395}, {'word': 'gimme', 'start': 0.395, 'end': 0.724}]",0.0,37e8a7c9534f48d0995e769099277707-10.wav
i hear you,45.533,46.914,"[{'word': 'i', 'start': 0.0, 'end': 0.263}, {'word': 'hear', 'start': 0.526, 'end': 0.921}, {'word': 'you', 'start': 1.052, 'end': 1.381}]",0.0,37e8a7c9534f48d0995e769099277707-19.wav
tome,57.893,61.838,"[{'word': 'tome', 'start': 0.0, 'end': 3.945}]",0.0,37e8a7c9534f48d0995e769099277707-23.wav
and if i should falter,67.097,69.201,"[{'word': 'and', 'start': 0.0, 'end': 0.132}, {'word': 'if', 'start': 0.263, 'end': 0.526}, {'word': 'i', 'start': 0.526, 'end': 0.723}, {'word': 'should', 'start': 0.789, 'end': 0.92}, {'word': 'falter', 'start': 1.052, 'end': 2.104}]",0.0,37e8a7c9534f48d0995e769099277707-24.wav
we can make love not war,75.249,77.485,"[{'word': 'we', 'start': 0.0, 'end': 0.132}, {'word': 'can', 'start': 0.263, 'end': 0.395}, {'word': 'make', 'start': 0.526, 'end': 0.723}, {'word': 'love', 'start': 0.789, 'end': 0.986}, {'word': 'not', 'start': 1.052, 'end': 1.249}, {'word': 'war', 'start': 1.315, 'end': 2.236}]",0.0,37e8a7c9534f48d0995e769099277707-27.wav
with you,85.505,86.952,"[{'word': 'with', 'start': 0.0, 'end': 0.395}, {'word': 'you', 'start': 0.526, 'end': 1.447}]",0.0,37e8a7c9534f48d0995e769099277707-31.wav
what religion,92.605,93.329,"[{'word': 'what', 'start': 0.0, 'end': 0.132}, {'word': 'religion', 'start': 0.263, 'end': 0.724}]",0.0,37e8a7c9534f48d0995e769099277707-34.wav
could drive a man,94.446,95.301,"[{'word': 'could', 'start': 0.0, 'end': 0.132}, {'word': 'drive', 'start': 0.263, 'end': 0.461}, {'word': 'a', 'start': 0.526, 'end': 0.658}, {'word': 'man', 'start': 0.658, 'end': 0.855}]",0.0,37e8a7c9534f48d0995e769099277707-36.wav
give a little respect,113.643,115.813,"[{'word': 'give', 'start': 0.0, 'end': 0.263}, {'word': 'a', 'start': 0.263, 'end': 0.395}, {'word': 'little', 'start': 0.395, 'end': 0.789}, {'word': 'respect', 'start': 0.789, 'end': 2.17}]",0.0,37e8a7c9534f48d0995e769099277707-45.wav
with you,135.996,137.377,"[{'word': 'with', 'start': 0.0, 'end': 0.263}, {'word': 'you', 'start': 0.526, 'end': 1.381}]",0.0,37e8a7c9534f48d0995e769099277707-48.wav
that you give me no,149.473,150.46,"[{'word': 'that', 'start': 0.0, 'end': 0.066}, {'word': 'you', 'start': 0.263, 'end': 0.329}, {'word': 'give', 'start': 0.395, 'end': 0.526}, {'word': 'me', 'start': 0.658, 'end': 0.724}, {'word': 'no', 'start': 0.855, 'end': 0.987}]",0.0,37e8a7c9534f48d0995e769099277707-56.wav
that you give me no,150.525,151.446,"[{'word': 'that', 'start': 0.0, 'end': 0.132}, {'word': 'you', 'start': 0.263, 'end': 0.329}, {'word': 'give', 'start': 0.395, 'end': 0.461}, {'word': 'me', 'start': 0.658, 'end': 0.724}, {'word': 'no', 'start': 0.789, 'end': 0.921}]",0.0,37e8a7c9534f48d0995e769099277707-57.wav
that you give me no,151.577,152.498,"[{'word': 'that', 'start': 0.0, 'end': 0.066}, {'word': 'you', 'start': 0.263, 'end': 0.395}, {'word': 'give', 'start': 0.395, 'end': 0.526}, {'word': 'me', 'start': 0.658, 'end': 0.723}, {'word': 'no', 'start': 0.789, 'end': 0.921}]",0.0,37e8a7c9534f48d0995e769099277707-58.wav
soul,152.629,154.733,"[{'word': 'soul', 'start': 0.0, 'end': 2.104}]",0.0,37e8a7c9534f48d0995e769099277707-59.wav
when you take a breath,16.621,19.16,"[{'word': 'when', 'start': 0.0, 'end': 0.292}, {'word': 'you', 'start': 0.375, 'end': 0.625}, {'word': 'take', 'start': 0.708, 'end': 1.29}, {'word': 'a', 'start': 1.457, 'end': 1.623}, {'word': 'breath', 'start': 1.707, 'end': 2.539}]",0.0,37f0a9f1c43c4cfd9598a09806a8f6e0-0.wav
